date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:42	87676/87676	---M--	200	added ('OK')	image/png	etag:%221567c-58d68ebf5de5d%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-3.png	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-3.png	(from http://axilthemes.com/demo/template/papr/)
10:34:42	90813/90813	---M--	200	added ('OK')	image/png	etag:%22162bd-58d68ebf5de5d%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-2.png	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-2.png	(from http://axilthemes.com/demo/template/papr/)
10:34:46	226597/226597	---M--	200	added ('OK')	image/jpeg	etag:%2237525-58ed2236118a9%22	http://axilthemes.com/demo/template/papr/assets/images/clientbanner/clientbanner2.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/clientbanner/clientbanner2.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:49	11596/11596	---M--	200	added ('OK')	image/jpeg	etag:%222d4c-58d64b737dcac%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-5.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-5.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:50	641431/641431	---M--	200	added ('OK')	image/jpeg	etag:%229c997-58e5ae75a4a13%22	http://axilthemes.com/demo/template/papr/assets/images/video-post/video-post-latest.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/video-post/video-post-latest.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:54	32147/32147	---M--	200	added ('OK')	image/jpeg	etag:%227d93-58d64b737dcac%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-6.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-6.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:58	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%222dd0-58e7c1310690f%22	http://axilthemes.com/demo/template/papr/assets/images/media/small-media-1.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/media/small-media-1.jpg	(from http://axilthemes.com/demo/template/papr/)
10:35:01	87518/87518	---M--	200	added ('OK')	image/png	etag:%22155de-58d68ebf5de5d%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-4.png	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-4.png	(from http://axilthemes.com/demo/template/papr/)
10:35:02	58172/58172	---M--	200	added ('OK')	image/jpeg	etag:%22e33c-58d64b737dcac%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-7.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-7.jpg	(from http://axilthemes.com/demo/template/papr/)
10:35:02	53911/53911	---M--	200	added ('OK')	image/jpeg	etag:%22d297-58d64b737dcac%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-8.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-8.jpg	(from http://axilthemes.com/demo/template/papr/)
10:35:02	16857/16857	---M--	200	added ('OK')	image/jpeg	etag:%2241d9-58e7c1310690f%22	http://axilthemes.com/demo/template/papr/assets/images/media/small-media-2.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/media/small-media-2.jpg	(from http://axilthemes.com/demo/template/papr/)
10:35:04	16710/16710	---M--	200	added ('OK')	image/jpeg	etag:%224146-58e7c1310690f%22	http://axilthemes.com/demo/template/papr/assets/images/media/small-media-3.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/media/small-media-3.jpg	(from http://axilthemes.com/demo/template/papr/)
